session,rc,result,failure,slac_matched,hlc_ready,cp_phase,current_demand_ready_since,summary_file,runner_file,plc_log,can_log,reset_log
01,0,pass,,False,False,B1,1773779005.5651402,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_5x_hold3600_gap30_reset_20260318_015259_session01_summary.json,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_5x_hold3600_gap30_reset_20260318_015259_session01_runner.out,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_5x_hold3600_gap30_reset_20260318_015259_session01.log,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_5x_hold3600_gap30_reset_20260318_015259_session01_can.log,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_5x_hold3600_gap30_reset_20260318_015259_session01_reset.log
02,0,pass,,False,False,B1,1773782683.01423,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_5x_hold3600_gap30_reset_20260318_015259_session02_summary.json,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_5x_hold3600_gap30_reset_20260318_015259_session02_runner.out,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_5x_hold3600_gap30_reset_20260318_015259_session02.log,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_5x_hold3600_gap30_reset_20260318_015259_session02_can.log,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_5x_hold3600_gap30_reset_20260318_015259_session02_reset.log
03,0,pass,,False,False,B1,1773786360.021794,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_5x_hold3600_gap30_reset_20260318_015259_session03_summary.json,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_5x_hold3600_gap30_reset_20260318_015259_session03_runner.out,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_5x_hold3600_gap30_reset_20260318_015259_session03.log,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_5x_hold3600_gap30_reset_20260318_015259_session03_can.log,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_5x_hold3600_gap30_reset_20260318_015259_session03_reset.log
04,0,pass,,True,True,B2,1773790036.9862888,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_5x_hold3600_gap30_reset_20260318_015259_session04_summary.json,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_5x_hold3600_gap30_reset_20260318_015259_session04_runner.out,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_5x_hold3600_gap30_reset_20260318_015259_session04.log,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_5x_hold3600_gap30_reset_20260318_015259_session04_can.log,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_5x_hold3600_gap30_reset_20260318_015259_session04_reset.log
05,0,pass,,False,False,B1,1773793714.7016933,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_5x_hold3600_gap30_reset_20260318_015259_session05_summary.json,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_5x_hold3600_gap30_reset_20260318_015259_session05_runner.out,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_5x_hold3600_gap30_reset_20260318_015259_session05.log,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_5x_hold3600_gap30_reset_20260318_015259_session05_can.log,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_5x_hold3600_gap30_reset_20260318_015259_session05_reset.log
