session,rc,result,failure,slac_matched,hlc_ready,cp_phase,current_demand_ready_since,summary_file,runner_file,plc_log,can_log,reset_log
01,0,pass,,False,True,B1,1773927379.4991493,/home/jpi/Desktop/EVSE/plc_firmware/logs/stateless_reset_batch5_20260319_session01_summary.json,/home/jpi/Desktop/EVSE/plc_firmware/logs/stateless_reset_batch5_20260319_session01_runner.out,/home/jpi/Desktop/EVSE/plc_firmware/logs/stateless_reset_batch5_20260319_session01.log,/home/jpi/Desktop/EVSE/plc_firmware/logs/stateless_reset_batch5_20260319_session01_can.log,/home/jpi/Desktop/EVSE/plc_firmware/logs/stateless_reset_batch5_20260319_session01_reset.log
02,0,pass,,False,False,B,1773927547.0735571,/home/jpi/Desktop/EVSE/plc_firmware/logs/stateless_reset_batch5_20260319_session02_summary.json,/home/jpi/Desktop/EVSE/plc_firmware/logs/stateless_reset_batch5_20260319_session02_runner.out,/home/jpi/Desktop/EVSE/plc_firmware/logs/stateless_reset_batch5_20260319_session02.log,/home/jpi/Desktop/EVSE/plc_firmware/logs/stateless_reset_batch5_20260319_session02_can.log,/home/jpi/Desktop/EVSE/plc_firmware/logs/stateless_reset_batch5_20260319_session02_reset.log
03,0,pass,,False,False,B,1773927714.4113324,/home/jpi/Desktop/EVSE/plc_firmware/logs/stateless_reset_batch5_20260319_session03_summary.json,/home/jpi/Desktop/EVSE/plc_firmware/logs/stateless_reset_batch5_20260319_session03_runner.out,/home/jpi/Desktop/EVSE/plc_firmware/logs/stateless_reset_batch5_20260319_session03.log,/home/jpi/Desktop/EVSE/plc_firmware/logs/stateless_reset_batch5_20260319_session03_can.log,/home/jpi/Desktop/EVSE/plc_firmware/logs/stateless_reset_batch5_20260319_session03_reset.log
04,0,pass,,False,False,B,1773927881.6747696,/home/jpi/Desktop/EVSE/plc_firmware/logs/stateless_reset_batch5_20260319_session04_summary.json,/home/jpi/Desktop/EVSE/plc_firmware/logs/stateless_reset_batch5_20260319_session04_runner.out,/home/jpi/Desktop/EVSE/plc_firmware/logs/stateless_reset_batch5_20260319_session04.log,/home/jpi/Desktop/EVSE/plc_firmware/logs/stateless_reset_batch5_20260319_session04_can.log,/home/jpi/Desktop/EVSE/plc_firmware/logs/stateless_reset_batch5_20260319_session04_reset.log
05,1,fail,session never reached sustained CurrentDemand,False,False,B1,,/home/jpi/Desktop/EVSE/plc_firmware/logs/stateless_reset_batch5_20260319_session05_summary.json,/home/jpi/Desktop/EVSE/plc_firmware/logs/stateless_reset_batch5_20260319_session05_runner.out,/home/jpi/Desktop/EVSE/plc_firmware/logs/stateless_reset_batch5_20260319_session05.log,/home/jpi/Desktop/EVSE/plc_firmware/logs/stateless_reset_batch5_20260319_session05_can.log,/home/jpi/Desktop/EVSE/plc_firmware/logs/stateless_reset_batch5_20260319_session05_reset.log
